date	nil	count
2014-03-02 01:00:00	ADRIANO	2.8333333333333335
2014-03-02 02:00:00	ADRIANO	3.8666666666666667
2014-03-02 03:00:00	ADRIANO	4.0
2014-03-02 04:00:00	ADRIANO	4.433333333333334
2014-03-02 05:00:00	ADRIANO	4.333333333333333
2014-03-02 06:00:00	ADRIANO	5.0
2014-03-02 07:00:00	ADRIANO	5.133333333333334
2014-03-02 08:00:00	ADRIANO	6.266666666666667
2014-03-02 09:00:00	ADRIANO	7.0
2014-03-02 10:00:00	ADRIANO	7.0
2014-03-02 11:00:00	ADRIANO	6.233333333333333
2014-03-02 12:00:00	ADRIANO	5.0
2014-03-02 13:00:00	ADRIANO	5.0
2014-03-02 14:00:00	ADRIANO	5.266666666666667
2014-03-02 15:00:00	ADRIANO	6.533333333333333
2014-03-02 16:00:00	ADRIANO	7.0
2014-03-02 17:00:00	ADRIANO	7.0
2014-03-02 18:00:00	ADRIANO	5.766666666666667
2014-03-02 19:00:00	ADRIANO	5.2
2014-03-02 20:00:00	ADRIANO	5.566666666666666
2014-03-02 21:00:00	ADRIANO	5.7
2014-03-02 22:00:00	ADRIANO	4.966666666666667
2014-03-02 23:00:00	ADRIANO	3.2333333333333334
2014-02-24 00:00:00	AFFORI	3.3
2014-02-24 01:00:00	AFFORI	4.2
2014-02-24 02:00:00	AFFORI	4.7
2014-02-24 03:00:00	AFFORI	6.0
2014-02-24 04:00:00	AFFORI	6.0
2014-02-24 05:00:00	AFFORI	6.733333333333333
2014-02-24 06:00:00	AFFORI	7.0
2014-02-24 07:00:00	AFFORI	5.966666666666667
2014-02-24 08:00:00	AFFORI	4.666666666666667
2014-02-24 09:00:00	AFFORI	3.4
2014-02-24 10:00:00	AFFORI	6.1
2014-02-24 11:00:00	AFFORI	5.6
2014-02-24 12:00:00	AFFORI	4.833333333333333
2014-02-24 13:00:00	AFFORI	4.0
2014-02-24 14:00:00	AFFORI	4.0
2014-02-24 15:00:00	AFFORI	3.4
2014-02-24 16:00:00	AFFORI	4.0
2014-02-24 17:00:00	AFFORI	4.566666666666666
2014-02-24 18:00:00	AFFORI	5.7
2014-02-24 19:00:00	AFFORI	6.533333333333333
2014-02-24 20:00:00	AFFORI	7.7
2014-02-24 21:00:00	AFFORI	9.0
2014-02-24 22:00:00	AFFORI	5.066666666666666
2014-02-24 23:00:00	AFFORI	7.233333333333333
2014-02-25 00:00:00	AFFORI	7.4
2014-02-25 01:00:00	AFFORI	7.866666666666666
2014-02-25 02:00:00	AFFORI	7.733333333333333
2014-02-25 03:00:00	AFFORI	8.733333333333333
2014-02-25 04:00:00	AFFORI	8.7
2014-02-25 05:00:00	AFFORI	7.733333333333333
2014-02-25 06:00:00	AFFORI	8.0
2014-02-25 07:00:00	AFFORI	6.566666666666666
2014-02-25 08:00:00	AFFORI	5.7
2014-02-25 09:00:00	AFFORI	6.0
2014-02-25 10:00:00	AFFORI	6.866666666666666
2014-02-25 11:00:00	AFFORI	8.0
2014-02-25 12:00:00	AFFORI	8.666666666666666
2014-02-25 13:00:00	AFFORI	9.333333333333334
2014-02-25 14:00:00	AFFORI	8.4
2014-02-25 15:00:00	AFFORI	8.0
2014-02-25 16:00:00	AFFORI	8.0
2014-02-25 17:00:00	AFFORI	6.333333333333333
2014-02-25 18:00:00	AFFORI	6.033333333333333
2014-02-25 19:00:00	AFFORI	7.933333333333334
2014-02-25 20:00:00	AFFORI	7.333333333333333
2014-02-25 21:00:00	AFFORI	9.433333333333334
2014-02-25 22:00:00	AFFORI	9.8
2014-02-25 23:00:00	AFFORI	8.233333333333333
2014-02-26 00:00:00	AFFORI	8.666666666666666
2014-02-26 01:00:00	AFFORI	9.0
2014-02-26 02:00:00	AFFORI	9.0
2014-02-26 03:00:00	AFFORI	9.0
2014-02-26 04:00:00	AFFORI	9.0
2014-02-26 05:00:00	AFFORI	9.0
2014-02-26 06:00:00	AFFORI	8.166666666666666
2014-02-26 07:00:00	AFFORI	8.0
2014-02-26 08:00:00	AFFORI	7.3
2014-02-26 09:00:00	AFFORI	8.266666666666667
2014-02-26 10:00:00	AFFORI	7.866666666666666
2014-02-26 11:00:00	AFFORI	7.8
2014-02-26 12:00:00	AFFORI	6.966666666666667
2014-02-26 13:00:00	AFFORI	7.733333333333333
2014-02-26 14:00:00	AFFORI	7.866666666666666
2014-02-26 15:00:00	AFFORI	7.866666666666666
2014-02-26 16:00:00	AFFORI	7.9
2014-02-26 17:00:00	AFFORI	5.666666666666667
2014-02-26 18:00:00	AFFORI	4.833333333333333
2014-02-26 19:00:00	AFFORI	6.2
2014-02-26 20:00:00	AFFORI	6.6
2014-02-26 21:00:00	AFFORI	5.0
2014-02-26 22:00:00	AFFORI	5.0
2014-02-26 23:00:00	AFFORI	7.7
2014-02-27 00:00:00	AFFORI	8.133333333333333
2014-02-27 01:00:00	AFFORI	8.533333333333333
2014-02-27 02:00:00	AFFORI	9.733333333333333
2014-02-27 03:00:00	AFFORI	10.0
2014-02-27 04:00:00	AFFORI	10.5
